Time,Open,High,Low,Close,Volume 
2003.05.04 21:00:00,1.12284,1.13009,1.12014,1.12774,1274222.4
2003.05.05 21:00:00,1.12728,1.14506,1.12723,1.14338,1279672.5
2003.05.06 21:00:00,1.14297,1.14438,1.13265,1.13647,1278008.6
2003.05.07 21:00:00,1.13605,1.15077,1.13006,1.14996,1265182.6
2003.05.08 21:00:00,1.14932,1.15366,1.14346,1.14877,1272916.5
2003.05.11 21:00:00,1.14888,1.16229,1.14888,1.15427,1270388.4
2003.05.12 21:00:00,1.15357,1.15739,1.1462,1.1512,1263821
2003.05.13 21:00:00,1.1512,1.1537,1.14667,1.1494,1277471.6
2003.05.14 21:00:00,1.14913,1.14967,1.13744,1.13847,1275857.4
2003.05.15 21:00:00,1.13775,1.15766,1.13675,1.15705,1274033.6
2003.05.18 21:00:00,1.16564,1.17353,1.16205,1.16566,1276461
2003.05.19 21:00:00,1.1652,1.17146,1.15998,1.17039,1278055.2
2003.05.20 21:00:00,1.16989,1.17437,1.1661,1.16716,1269671.4
2003.05.21 21:00:00,1.16654,1.17266,1.16181,1.16908,1276077.1
2003.05.22 21:00:00,1.16877,1.18363,1.16635,1.18236,1276165.4
2003.05.25 21:00:00,1.182,1.18744,1.17955,1.1866,1278312.8
2003.05.26 21:00:00,1.186,1.19286,1.18166,1.18258,1271915.8
2003.05.27 21:00:00,1.18191,1.18439,1.17037,1.17619,1276412.5
2003.05.28 21:00:00,1.17587,1.18998,1.16909,1.18803,1278349
2003.05.29 21:00:00,1.18757,1.19144,1.17419,1.17661,1272051
2003.06.01 21:00:00,1.17079,1.17652,1.16504,1.17443,1160226.1
2003.06.02 21:00:00,1.17426,1.17773,1.16858,1.17361,1270931.9
2003.06.03 21:00:00,1.17295,1.17463,1.16609,1.16615,1276120.6
2003.06.04 21:00:00,1.16565,1.1885,1.16273,1.18375,1280677.9
2003.06.05 21:00:00,1.18319,1.18772,1.16829,1.16971,1279083.8
2003.06.08 21:00:00,1.1687,1.17846,1.16548,1.17131,1274278.3
2003.06.09 21:00:00,1.17076,1.174,1.16692,1.16729,1269463.8
2003.06.10 21:00:00,1.16676,1.17805,1.16571,1.17391,1264178.7
2003.06.11 21:00:00,1.17359,1.18038,1.1702,1.17608,1267150.6
2003.06.12 21:00:00,1.17582,1.18758,1.17338,1.186,1279678.8
2003.06.15 21:00:00,1.18624,1.19263,1.18198,1.18326,1271366.1
2003.06.16 21:00:00,1.18316,1.18652,1.1767,1.17907,1265464.6
2003.06.17 21:00:00,1.17844,1.18016,1.16604,1.16853,1265660.5
2003.06.18 21:00:00,1.1677,1.17372,1.15826,1.17173,1266762.3
2003.06.19 21:00:00,1.1713,1.17333,1.15501,1.1601,1271527.8
2003.06.22 21:00:00,1.15955,1.16028,1.15069,1.15399,1267169.3
2003.06.23 21:00:00,1.15374,1.15801,1.1475,1.15141,1281097.1
2003.06.24 21:00:00,1.15118,1.16205,1.14897,1.15368,1274772.6
2003.06.25 21:00:00,1.15379,1.15509,1.14125,1.14151,1269716.2
2003.06.26 21:00:00,1.14145,1.14665,1.13984,1.14224,1271972.7
2003.06.29 21:00:00,1.14238,1.15121,1.13964,1.15086,1279420.6
2003.06.30 21:00:00,1.15084,1.16069,1.1501,1.15578,1275064.3
2003.07.01 21:00:00,1.15549,1.15668,1.15035,1.15366,1267163
2003.07.02 21:00:00,1.15345,1.15424,1.14316,1.14915,1276490.8
2003.07.03 21:00:00,1.14865,1.14999,1.14462,1.14862,1281812.5
2003.07.06 21:00:00,1.148,1.14854,1.13122,1.13222,1273294.4
2003.07.07 21:00:00,1.13177,1.13498,1.12577,1.13121,1258378.7
