,time,equity,balance
0,2017.10.01,10000.0,10000.0
1,2017.10.01 21:00:00,10000.0,10000.0
2,2017.10.01 21:15:00,10000.0,10000.0
3,2017.10.01 21:30:00,10000.0,10000.0
4,2017.10.01 21:45:00,10000.0,10000.0
5,2017.10.01 22:00:00,10000.0,10000.0
6,2017.10.01 22:15:00,10000.0,10000.0
7,2017.10.01 22:30:00,10000.0,10000.0
8,2017.10.01 22:45:00,10000.0,10000.0
9,2017.10.01 23:00:00,10000.0,10000.0
10,2017.10.01 23:15:00,10000.0,10000.0
11,2017.10.01 23:30:00,10000.0,10000.0
12,2017.10.01 23:45:00,10000.0,10000.0
13,2017.10.02 00:00:00,10000.0,10000.0
14,2017.10.02 00:15:00,10000.0,10000.0
15,2017.10.02 00:30:00,10000.0,10000.0
16,2017.10.02 00:45:00,10000.0,10000.0
17,2017.10.02 01:00:00,10000.0,10000.0
18,2017.10.02 01:15:00,10000.0,10000.0
19,2017.10.02 01:30:00,10000.0,10000.0
20,2017.10.02 01:45:00,10000.0,10000.0
21,2017.10.02 02:00:00,10000.0,10000.0
22,2017.10.02 02:15:00,10000.0,10000.0
23,2017.10.02 02:30:00,10000.0,10000.0
24,2017.10.02 02:45:00,10000.0,10000.0
25,2017.10.02 03:00:00,10000.0,10000.0
26,2017.10.02 03:15:00,10000.0,10000.0
27,2017.10.02 03:30:00,10000.0,10000.0
28,2017.10.02 03:45:00,10000.0,10000.0
29,2017.10.02 04:00:00,10000.0,10000.0
30,2017.10.02 04:15:00,10000.0,10000.0
31,2017.10.02 04:30:00,10000.0,10000.0
32,2017.10.02 04:45:00,10000.0,10000.0
33,2017.10.02 05:00:00,10000.0,10000.0
34,2017.10.02 05:15:00,10000.0,10000.0
35,2017.10.02 05:30:00,10000.0,10000.0
36,2017.10.02 05:45:00,10000.0,10000.0
37,2017.10.02 06:00:00,10000.0,10000.0
38,2017.10.02 06:15:00,10000.0,10000.0
39,2017.10.02 06:30:00,10000.0,10000.0
40,2017.10.02 06:45:00,10000.0,10000.0
41,2017.10.02 07:00:00,10000.0,10000.0
42,2017.10.02 07:15:00,10000.0,10000.0
43,2017.10.02 07:30:00,10000.0,10000.0
44,2017.10.02 07:45:00,10000.0,10000.0
45,2017.10.02 08:00:00,10000.0,10000.0
46,2017.10.02 08:15:00,10000.0,10000.0
47,2017.10.02 08:30:00,10000.0,10000.0
48,2017.10.02 08:45:00,10000.0,10000.0
49,2017.10.02 09:00:00,10000.0,10000.0
50,2017.10.02 09:15:00,10000.0,10000.0
51,2017.10.02 09:30:00,10000.0,10000.0
52,2017.10.02 09:45:00,10000.0,10000.0
53,2017.10.02 10:00:00,10000.0,10118.99999999998
54,2017.10.02 10:15:00,10000.0,10049.999999999993
55,2017.10.02 10:30:00,10000.0,10065.999999999987
56,2017.10.02 10:45:00,10000.0,9902.999999999964
57,2017.10.02 11:00:00,10000.0,9895.999999999984
58,2017.10.02 11:15:00,10000.0,9878.999999999984
59,2017.10.02 11:30:00,10000.0,9822.00000000001
60,2017.10.02 11:45:00,10000.0,9801.999999999989
61,2017.10.02 12:00:00,10000.0,9929.999999999984
62,2017.10.02 12:15:00,10000.0,9868.0
63,2017.10.02 12:30:00,10000.0,9685.999999999985
64,2017.10.02 12:45:00,10000.0,9715.999999999982
65,2017.10.02 12:45:00,9809.999999999998,9809.999999999998
66,2017.10.02 12:45:00,9409.999999999998,9409.999999999998
67,2017.10.02 13:00:00,9409.999999999998,9409.999999999998
68,2017.10.02 13:15:00,9409.999999999998,9461.99999999996
69,2017.10.02 13:15:00,9409.999999999998,9409.999999999998
70,2017.10.02 13:30:00,9409.999999999998,9428.999999999989
71,2017.10.02 13:45:00,9409.999999999998,9225.999999999969
72,2017.10.02 14:00:00,9409.999999999998,9372.999999999976
73,2017.10.02 14:00:00,9800.0,9800.0
74,2017.10.02 14:15:00,9800.0,9688.999999999984
75,2017.10.02 14:30:00,9800.0,9559.999999999982
76,2017.10.02 14:30:00,9790.000000000002,9790.000000000002
77,2017.10.02 14:45:00,9790.000000000002,9744.000000000011
78,2017.10.02 15:00:00,9790.000000000002,9935.99999999998
79,2017.10.02 15:15:00,9790.000000000002,10000.999999999984
80,2017.10.02 15:15:00,10180.000000000004,10180.000000000004
81,2017.10.02 15:30:00,10180.000000000004,10229.999999999996
82,2017.10.02 15:45:00,10180.000000000004,10143.999999999967
83,2017.10.02 16:00:00,10180.000000000004,10154.00000000001
84,2017.10.02 16:15:00,10180.000000000004,10103.00000000001
85,2017.10.02 16:30:00,10180.000000000004,10164.999999999993
86,2017.10.02 16:45:00,10180.000000000004,10088.0
87,2017.10.02 17:00:00,10180.000000000004,10202.999999999998
